"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Jan., 2021 "	"2021/01"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Feb., 2021 "	"2021/02"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Mar., 2021 "	"2021/03"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Apr., 2021 "	"2021/04"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"May, 2021 "	"2021/05"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Jun., 2021 "	"2021/06"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Jul., 2021 "	"2021/07"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Aug., 2021 "	"2021/08"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Sep., 2021 "	"2021/09"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Oct., 2021 "	"2021/10"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Nov., 2021 "	"2021/11"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	"Dec., 2021 "	"2021/12"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2021 "	"2021"	"Apr., 2021 "	"2021/04"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2021 "	"2021"	"May, 2021 "	"2021/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021 "	"2021"	"Jan., 2021 "	"2021/01"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021 "	"2021"	"Mar., 2021 "	"2021/03"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
