"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Jan., 2018"	"2018/01"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Mar., 2018"	"2018/03"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Apr., 2018"	"2018/04"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Jun., 2018"	"2018/06"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Jul., 2018"	"2018/07"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Aug., 2018"	"2018/08"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Nov., 2018"	"2018/11"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Dec., 2018"	"2018/12"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2019"	"2019"	"Jan., 2019"	"2019/01"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2019"	"2019"	"Feb., 2019"	"2019/02"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2019"	"2019"	"Mar., 2019"	"2019/03"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2019"	"2019"	"Apr., 2019"	"2019/04"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2019"	"2019"	"May, 2019"	"2019/05"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2019"	"2019"	"Sep., 2019"	"2019/09"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2019"	"2019"	"Oct., 2019"	"2019/10"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2018"	"2018"	"Oct., 2018"	"2018/10"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2019"	"2019"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"2019"	"2019"	"Jun., 2019"	"2019/06"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"2018"	"2018"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
