"Notes"	"County"	"County Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Baldwin County, AL"	"01003"	"Sunday"	"1"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0121%
	"Baldwin County, AL"	"01003"	"Monday"	"2"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0071%
	"Baldwin County, AL"	"01003"	"Tuesday"	"3"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0093%
	"Baldwin County, AL"	"01003"	"Wednesday"	"4"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0071%
	"Baldwin County, AL"	"01003"	"Thursday"	"5"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0107%
	"Baldwin County, AL"	"01003"	"Friday"	"6"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0093%
	"Baldwin County, AL"	"01003"	"Saturday"	"7"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0093%
	"Calhoun County, AL"	"01015"	"Sunday"	"1"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0086%
	"Calhoun County, AL"	"01015"	"Tuesday"	"3"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0071%
	"Calhoun County, AL"	"01015"	"Thursday"	"5"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0078%
	"Etowah County, AL"	"01055"	"Thursday"	"5"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0078%
	"Etowah County, AL"	"01055"	"Saturday"	"7"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0078%
	"Jefferson County, AL"	"01073"	"Sunday"	"1"	58	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0414%
	"Jefferson County, AL"	"01073"	"Monday"	"2"	56	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0400%
	"Jefferson County, AL"	"01073"	"Tuesday"	"3"	49	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0350%
	"Jefferson County, AL"	"01073"	"Wednesday"	"4"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0264%
	"Jefferson County, AL"	"01073"	"Thursday"	"5"	44	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0314%
	"Jefferson County, AL"	"01073"	"Friday"	"6"	46	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0328%
	"Jefferson County, AL"	"01073"	"Saturday"	"7"	63	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0449%
	"Madison County, AL"	"01089"	"Sunday"	"1"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0221%
	"Madison County, AL"	"01089"	"Monday"	"2"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0143%
	"Madison County, AL"	"01089"	"Tuesday"	"3"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0164%
	"Madison County, AL"	"01089"	"Wednesday"	"4"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0164%
	"Madison County, AL"	"01089"	"Thursday"	"5"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0193%
	"Madison County, AL"	"01089"	"Friday"	"6"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0136%
	"Madison County, AL"	"01089"	"Saturday"	"7"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0164%
	"Marshall County, AL"	"01095"	"Saturday"	"7"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0093%
	"Mobile County, AL"	"01097"	"Sunday"	"1"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0157%
	"Mobile County, AL"	"01097"	"Monday"	"2"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0150%
	"Mobile County, AL"	"01097"	"Tuesday"	"3"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0093%
	"Mobile County, AL"	"01097"	"Wednesday"	"4"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0150%
	"Mobile County, AL"	"01097"	"Thursday"	"5"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0178%
	"Mobile County, AL"	"01097"	"Friday"	"6"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0121%
