"Notes"	"County"	"County Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Autauga County, AL"	"01001"	"Sunday"	"1"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0029%
	"Autauga County, AL"	"01001"	"Monday"	"2"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0027%
	"Autauga County, AL"	"01001"	"Tuesday"	"3"	42	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0039%
	"Autauga County, AL"	"01001"	"Wednesday"	"4"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0034%
	"Autauga County, AL"	"01001"	"Thursday"	"5"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0029%
	"Autauga County, AL"	"01001"	"Friday"	"6"	46	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0043%
	"Autauga County, AL"	"01001"	"Saturday"	"7"	41	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0038%
	"Baldwin County, AL"	"01003"	"Sunday"	"1"	125	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0116%
	"Baldwin County, AL"	"01003"	"Monday"	"2"	136	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0127%
	"Baldwin County, AL"	"01003"	"Tuesday"	"3"	140	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0130%
	"Baldwin County, AL"	"01003"	"Wednesday"	"4"	119	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0111%
	"Baldwin County, AL"	"01003"	"Thursday"	"5"	143	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0133%
	"Baldwin County, AL"	"01003"	"Friday"	"6"	156	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0145%
	"Baldwin County, AL"	"01003"	"Saturday"	"7"	136	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0127%
	"Barbour County, AL"	"01005"	"Monday"	"2"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0019%
	"Barbour County, AL"	"01005"	"Tuesday"	"3"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0013%
	"Barbour County, AL"	"01005"	"Wednesday"	"4"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0013%
	"Barbour County, AL"	"01005"	"Thursday"	"5"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0017%
	"Barbour County, AL"	"01005"	"Friday"	"6"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0009%
	"Barbour County, AL"	"01005"	"Saturday"	"7"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0013%
	"Bibb County, AL"	"01007"	"Sunday"	"1"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0017%
	"Bibb County, AL"	"01007"	"Tuesday"	"3"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0009%
	"Bibb County, AL"	"01007"	"Wednesday"	"4"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0013%
	"Bibb County, AL"	"01007"	"Thursday"	"5"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0012%
	"Bibb County, AL"	"01007"	"Friday"	"6"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0017%
	"Bibb County, AL"	"01007"	"Saturday"	"7"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0019%
	"Blount County, AL"	"01009"	"Sunday"	"1"	56	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0052%
	"Blount County, AL"	"01009"	"Monday"	"2"	71	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0066%
	"Blount County, AL"	"01009"	"Tuesday"	"3"	57	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0053%
	"Blount County, AL"	"01009"	"Wednesday"	"4"	51	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0047%
	"Blount County, AL"	"01009"	"Thursday"	"5"	55	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0051%
	"Blount County, AL"	"01009"	"Friday"	"6"	42	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0039%
	"Blount County, AL"	"01009"	"Saturday"	"7"	44	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0041%
	"Butler County, AL"	"01013"	"Monday"	"2"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0013%
	"Butler County, AL"	"01013"	"Tuesday"	"3"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0019%
	"Butler County, AL"	"01013"	"Wednesday"	"4"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0009%
	"Butler County, AL"	"01013"	"Thursday"	"5"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0018%
	"Butler County, AL"	"01013"	"Friday"	"6"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0019%
	"Butler County, AL"	"01013"	"Saturday"	"7"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0015%
	"Calhoun County, AL"	"01015"	"Sunday"	"1"	100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0093%
	"Calhoun County, AL"	"01015"	"Monday"	"2"	97	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0090%
	"Calhoun County, AL"	"01015"	"Tuesday"	"3"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0087%
	"Calhoun County, AL"	"01015"	"Wednesday"	"4"	110	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0102%
	"Calhoun County, AL"	"01015"	"Thursday"	"5"	114	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0106%
