Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths,ID
,"Baldwin County, AL",1003.0,2018.0,2018.0,11.0,218022.0,Unreliable,2.5186,9.0276,1.5212,0.0078%,methane
,"Baldwin County, AL",1003.0,2019.0,2019.0,11.0,223234.0,Unreliable,2.4598,8.8168,1.4857,0.0078%,methane
,"Baldwin County, AL",1003.0,2020.0,2020.0,29.0,229287.0,12.6479,8.4706,18.1645,2.3487,0.0207%,methane
,"Baldwin County, AL",1003.0,2021.0,2021.0,40.0,239294.0,16.7158,11.942,22.7623,2.643,0.0285%,methane
,"Calhoun County, AL",1015.0,2018.0,2018.0,13.0,114277.0,Unreliable,6.0572,19.4531,3.1551,0.0093%,methane
,"Calhoun County, AL",1015.0,2019.0,2019.0,15.0,113605.0,Unreliable,7.3899,21.7774,3.4092,0.0107%,methane
,"Calhoun County, AL",1015.0,2020.0,2020.0,14.0,113469.0,Unreliable,6.7454,20.7014,3.2975,0.0100%,methane
,"Calhoun County, AL",1015.0,2021.0,2021.0,21.0,115972.0,18.1078,11.2091,27.6798,3.9515,0.0150%,methane
,"Cullman County, AL",1043.0,2021.0,2021.0,17.0,89496.0,Unreliable,11.0655,30.4133,4.607,0.0121%,methane
,"DeKalb County, AL",1049.0,2018.0,2018.0,11.0,71385.0,Unreliable,7.6924,27.5717,4.6461,0.0078%,methane
,"Etowah County, AL",1055.0,2019.0,2019.0,11.0,102268.0,Unreliable,5.3694,19.2456,3.2431,0.0078%,methane
,"Etowah County, AL",1055.0,2020.0,2020.0,14.0,102371.0,Unreliable,7.4767,22.9456,3.655,0.0100%,methane
,"Etowah County, AL",1055.0,2021.0,2021.0,23.0,103162.0,22.2950,14.133,33.4535,4.6488,0.0164%,methane
,"Houston County, AL",1069.0,2018.0,2018.0,13.0,104722.0,Unreliable,6.6099,21.228,3.443,0.0093%,methane
,"Jefferson County, AL",1073.0,2018.0,2018.0,64.0,659300.0,9.7073,7.4758,12.396,1.2134,0.0457%,methane
