"Notes"	"County"	"County Code"	"Single Race 6"	"Single Race 6 Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Autauga County, AL"	"01001"	"Black or African American"	"2054-5"	20	46151	43.3360	26.4709	66.9290	9.6902	0.0019%
	"Autauga County, AL"	"01001"	"White"	"2106-3"	237	172224	137.6115	120.0914	155.1316	8.9388	0.0220%
	"Baldwin County, AL"	"01003"	"Black or African American"	"2054-5"	37	79421	46.5872	32.8016	64.2144	7.6589	0.0034%
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	912	795220	114.6852	107.2419	122.1286	3.7976	0.0848%
	"Barbour County, AL"	"01005"	"Black or African American"	"2054-5"	24	47764	50.2470	32.1943	74.7636	10.2566	0.0022%
	"Barbour County, AL"	"01005"	"White"	"2106-3"	74	48680	152.0131	119.3638	190.8388	17.6712	0.0069%
	"Bibb County, AL"	"01007"	"Black or African American"	"2054-5"	12	19070	Unreliable	32.5145	109.9192	18.1652	0.0011%
	"Bibb County, AL"	"01007"	"White"	"2106-3"	90	68474	131.4367	105.6909	161.5581	13.8546	0.0084%
	"Blount County, AL"	"01009"	"White"	"2106-3"	372	222647	167.0806	150.1017	184.0596	8.6627	0.0346%
	"Bullock County, AL"	"01011"	"Black or African American"	"2054-5"	17	28417	Unreliable	34.8495	95.7832	14.5093	0.0016%
	"Butler County, AL"	"01013"	"Black or African American"	"2054-5"	22	34873	63.0861	39.5354	95.5129	13.4500	0.0020%
	"Butler County, AL"	"01013"	"White"	"2106-3"	84	40344	208.2094	166.0761	257.7778	22.7175	0.0078%
	"Calhoun County, AL"	"01015"	"Black or African American"	"2054-5"	52	97820	53.1589	39.7017	69.7109	7.3718	0.0048%
	"Calhoun County, AL"	"01015"	"White"	"2106-3"	654	342854	190.7517	176.1321	205.3714	7.4590	0.0608%
	"Chambers County, AL"	"01017"	"Black or African American"	"2054-5"	43	54075	79.5192	57.5480	107.1115	12.1266	0.0040%
	"Chambers County, AL"	"01017"	"White"	"2106-3"	154	76442	201.4599	169.6411	233.2788	16.2341	0.0143%
	"Cherokee County, AL"	"01019"	"White"	"2106-3"	208	96251	216.1017	186.7331	245.4702	14.9840	0.0193%
	"Chilton County, AL"	"01021"	"Black or African American"	"2054-5"	16	18443	Unreliable	49.5876	140.8829	21.6884	0.0015%
	"Chilton County, AL"	"01021"	"White"	"2106-3"	243	155139	156.6337	136.9395	176.3279	10.0481	0.0226%
	"Choctaw County, AL"	"01023"	"Black or African American"	"2054-5"	18	20911	Unreliable	51.0156	136.0420	20.2890	0.0017%
	"Choctaw County, AL"	"01023"	"White"	"2106-3"	42	28843	145.6159	104.9469	196.8305	22.4690	0.0039%
	"Clarke County, AL"	"01025"	"Black or African American"	"2054-5"	52	42147	123.3777	92.1446	161.7938	17.1094	0.0048%
	"Clarke County, AL"	"01025"	"White"	"2106-3"	75	49521	151.4509	119.1252	189.8452	17.4880	0.0070%
	"Clay County, AL"	"01027"	"White"	"2106-3"	77	44787	171.9249	135.6797	214.8769	19.5927	0.0072%
	"Cleburne County, AL"	"01029"	"White"	"2106-3"	99	56914	173.9467	141.3751	211.7731	17.4823	0.0092%
	"Coffee County, AL"	"01031"	"Black or African American"	"2054-5"	23	37136	61.9345	39.2609	92.9321	12.9142	0.0021%
	"Coffee County, AL"	"01031"	"White"	"2106-3"	204	160419	127.1670	109.7162	144.6178	8.9035	0.0190%
	"Colbert County, AL"	"01033"	"Black or African American"	"2054-5"	30	36190	82.8958	55.9298	118.3388	15.1346	0.0028%
	"Colbert County, AL"	"01033"	"White"	"2106-3"	310	179041	173.1447	153.8701	192.4193	9.8340	0.0288%
	"Conecuh County, AL"	"01035"	"Black or African American"	"2054-5"	24	21895	109.6141	70.2319	163.0970	22.3749	0.0022%
	"Conecuh County, AL"	"01035"	"White"	"2106-3"	59	24533	240.4924	183.0748	310.2184	31.3094	0.0055%
	"Coosa County, AL"	"01037"	"Black or African American"	"2054-5"	10	12936	Unreliable	37.0702	142.1645	24.4456	0.0009%
	"Coosa County, AL"	"01037"	"White"	"2106-3"	70	28499	245.6227	191.4751	310.3295	29.3575	0.0065%
	"Covington County, AL"	"01039"	"Black or African American"	"2054-5"	22	18786	117.1085	73.3907	177.3034	24.9676	0.0020%
	"Covington County, AL"	"01039"	"White"	"2106-3"	243	125302	193.9315	169.5477	218.3153	12.4407	0.0226%
	"Crenshaw County, AL"	"01041"	"Black or African American"	"2054-5"	16	12941	Unreliable	70.6703	200.7808	30.9095	0.0015%
	"Crenshaw County, AL"	"01041"	"White"	"2106-3"	77	39233	196.2633	154.8871	245.2958	22.3663	0.0072%
	"Cullman County, AL"	"01043"	"White"	"2106-3"	515	326825	157.5767	143.9671	171.1863	6.9437	0.0479%
	"Dale County, AL"	"01045"	"Black or African American"	"2054-5"	35	41495	84.3475	58.7514	117.3071	14.2573	0.0033%
	"Dale County, AL"	"01045"	"White"	"2106-3"	215	144437	148.8538	128.9564	168.7512	10.1517	0.0200%
	"Dallas County, AL"	"01047"	"Black or African American"	"2054-5"	90	105554	85.2644	68.5628	104.8045	8.9877	0.0084%
	"Dallas County, AL"	"01047"	"White"	"2106-3"	92	40948	224.6752	181.1197	275.5439	23.4240	0.0086%
	"DeKalb County, AL"	"01049"	"White"	"2106-3"	433	265178	163.2865	147.9063	178.6668	7.8471	0.0403%
	"Elmore County, AL"	"01051"	"Black or African American"	"2054-5"	42	71414	58.8120	42.3864	79.4968	9.0749	0.0039%
	"Elmore County, AL"	"01051"	"White"	"2106-3"	335	252647	132.5961	118.3969	146.7953	7.2445	0.0312%
	"Escambia County, AL"	"01053"	"Black or African American"	"2054-5"	40	46105	86.7585	61.9811	118.1408	13.7177	0.0037%
	"Escambia County, AL"	"01053"	"White"	"2106-3"	151	90875	166.1623	139.6590	192.6656	13.5221	0.0140%
	"Etowah County, AL"	"01055"	"Black or African American"	"2054-5"	66	64743	101.9415	78.8416	129.6951	12.5481	0.0061%
	"Etowah County, AL"	"01055"	"White"	"2106-3"	738	330569	223.2514	207.1441	239.3587	8.2180	0.0687%
	"Fayette County, AL"	"01057"	"Black or African American"	"2054-5"	15	7626	Unreliable	110.0885	324.4197	50.7866	0.0014%
	"Fayette County, AL"	"01057"	"White"	"2106-3"	109	55840	195.2006	158.5548	231.8463	18.6968	0.0101%
	"Franklin County, AL"	"01059"	"White"	"2106-3"	222	115522	192.1712	166.8917	217.4507	12.8977	0.0207%
	"Geneva County, AL"	"01061"	"Black or African American"	"2054-5"	14	9878	Unreliable	77.4847	237.7973	37.8787	0.0013%
	"Geneva County, AL"	"01061"	"White"	"2106-3"	176	91956	191.3959	163.1189	219.6728	14.4270	0.0164%
	"Greene County, AL"	"01063"	"Black or African American"	"2054-5"	27	25563	105.6214	69.6056	153.6739	20.3268	0.0025%
	"Greene County, AL"	"01063"	"White"	"2106-3"	18	5878	Unreliable	181.4883	483.9697	72.1783	0.0017%
	"Hale County, AL"	"01065"	"Black or African American"	"2054-5"	44	34080	129.1080	93.8099	173.3210	19.4638	0.0041%
	"Hale County, AL"	"01065"	"White"	"2106-3"	47	23922	196.4719	144.3597	261.2663	28.6584	0.0044%
	"Henry County, AL"	"01067"	"Black or African American"	"2054-5"	16	17770	Unreliable	51.4656	146.2186	22.5098	0.0015%
	"Henry County, AL"	"01067"	"White"	"2106-3"	69	49570	139.1971	108.3037	176.1623	16.7574	0.0064%
	"Houston County, AL"	"01069"	"Black or African American"	"2054-5"	76	116821	65.0568	51.2576	81.4283	7.4625	0.0071%
	"Houston County, AL"	"01069"	"White"	"2106-3"	354	291261	121.5405	108.8793	134.2017	6.4598	0.0329%
	"Jackson County, AL"	"01071"	"White"	"2106-3"	371	189701	195.5709	175.6700	215.4719	10.1535	0.0345%
	"Jefferson County, AL"	"01073"	"Asian"	"A"	10	47786	Unreliable	10.0352	38.4849	6.6176	0.0009%
	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	811	1151498	70.4300	65.5827	75.2773	2.4731	0.0754%
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	1899	1397471	135.8883	129.7764	142.0002	3.1183	0.1766%
	"Lamar County, AL"	"01075"	"White"	"2106-3"	98	48169	203.4504	165.1712	247.9409	20.5516	0.0091%
