"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Autauga County, AL"	"01001"	"2018"	"2018"	24	55601	43.1647	27.6565	64.2256	8.8110	0.0032%
	"Autauga County, AL"	"01001"	"2019"	"2019"	18	55869	Unreliable	19.0945	50.9186	7.5939	0.0024%
	"Autauga County, AL"	"01001"	"2020"	"2020"	35	56145	62.3386	43.4213	86.6980	10.5371	0.0047%
	"Autauga County, AL"	"01001"	"2021 "	"2021"	26	59095	43.9970	28.7401	64.4657	8.6285	0.0035%
	"Baldwin County, AL"	"01003"	"2018"	"2018"	157	218022	72.0111	60.7467	83.2754	5.7471	0.0211%
	"Baldwin County, AL"	"01003"	"2019"	"2019"	129	223234	57.7869	47.8147	67.7591	5.0879	0.0173%
	"Baldwin County, AL"	"01003"	"2020"	"2020"	122	229287	53.2084	43.7666	62.6503	4.8173	0.0164%
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	120	239294	50.1475	41.1750	59.1200	4.5778	0.0161%
	"Barbour County, AL"	"01005"	"2018"	"2018"	15	24881	Unreliable	33.7420	99.4343	15.5660	0.0020%
	"Barbour County, AL"	"01005"	"2020"	"2020"	21	24589	85.4040	52.8668	130.5495	18.6367	0.0028%
	"Barbour County, AL"	"01005"	"2021 "	"2021"	12	24964	Unreliable	24.8378	83.9673	13.8764	0.0016%
	"Bibb County, AL"	"01007"	"2018"	"2018"	13	22400	Unreliable	30.9017	99.2428	16.0962	0.0017%
	"Bibb County, AL"	"01007"	"2019"	"2019"	15	22394	Unreliable	37.4893	110.4771	17.2947	0.0020%
	"Bibb County, AL"	"01007"	"2020"	"2020"	14	22136	Unreliable	34.5769	106.1150	16.9030	0.0019%
	"Bibb County, AL"	"01007"	"2021 "	"2021"	19	22477	Unreliable	50.8935	132.0051	19.3927	0.0026%
	"Blount County, AL"	"01009"	"2018"	"2018"	29	57840	50.1383	33.5786	72.0071	9.3105	0.0039%
	"Blount County, AL"	"01009"	"2019"	"2019"	28	57826	48.4211	32.1754	69.9821	9.1507	0.0038%
	"Blount County, AL"	"01009"	"2020"	"2020"	41	57879	70.8374	50.8344	96.0988	11.0629	0.0055%
	"Blount County, AL"	"01009"	"2021 "	"2021"	35	59041	59.2808	41.2915	82.4454	10.0203	0.0047%
	"Bullock County, AL"	"01011"	"2021 "	"2021"	12	10320	Unreliable	60.0826	203.1163	33.5669	0.0016%
