"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Autauga County, AL"	"01001"	"2018"	"2018"	83	55601	149.2779	118.8983	185.0523	16.3854	0.0077%
	"Autauga County, AL"	"01001"	"2019"	"2019"	63	55869	112.7638	86.6511	144.2734	14.2069	0.0059%
	"Autauga County, AL"	"01001"	"2020"	"2020"	53	56145	94.3984	70.7110	123.4750	12.9666	0.0049%
	"Autauga County, AL"	"01001"	"2021 "	"2021"	58	59095	98.1471	74.5270	126.8776	12.8873	0.0054%
	"Baldwin County, AL"	"01003"	"2018"	"2018"	225	218022	103.2006	89.7157	116.6855	6.8800	0.0209%
	"Baldwin County, AL"	"01003"	"2019"	"2019"	247	223234	110.6462	96.8473	124.4451	7.0403	0.0230%
	"Baldwin County, AL"	"01003"	"2020"	"2020"	238	229287	103.8000	90.6125	116.9876	6.7284	0.0221%
	"Baldwin County, AL"	"01003"	"2021 "	"2021"	245	239294	102.3845	89.5639	115.2051	6.5411	0.0228%
	"Barbour County, AL"	"01005"	"2018"	"2018"	18	24881	Unreliable	42.8756	114.3352	17.0517	0.0017%
	"Barbour County, AL"	"01005"	"2019"	"2019"	19	24686	Unreliable	46.3393	120.1927	17.6574	0.0018%
	"Barbour County, AL"	"01005"	"2020"	"2020"	29	24589	117.9389	78.9861	169.3803	21.9007	0.0027%
	"Barbour County, AL"	"01005"	"2021 "	"2021"	33	24964	132.1904	90.9932	185.6442	23.0114	0.0031%
	"Bibb County, AL"	"01007"	"2018"	"2018"	31	22400	138.3929	94.0310	196.4376	24.8561	0.0029%
	"Bibb County, AL"	"01007"	"2019"	"2019"	26	22394	116.1025	75.8417	170.1169	22.7696	0.0024%
	"Bibb County, AL"	"01007"	"2020"	"2020"	29	22136	131.0083	87.7389	188.1502	24.3276	0.0027%
	"Bibb County, AL"	"01007"	"2021 "	"2021"	16	22477	Unreliable	40.6880	115.5983	17.7960	0.0015%
	"Blount County, AL"	"01009"	"2018"	"2018"	112	57840	193.6376	157.7754	229.4998	18.2970	0.0104%
	"Blount County, AL"	"01009"	"2019"	"2019"	85	57826	146.9927	117.4119	181.7594	15.9436	0.0079%
	"Blount County, AL"	"01009"	"2020"	"2020"	86	57879	148.5858	118.8494	183.5020	16.0224	0.0080%
	"Blount County, AL"	"01009"	"2021 "	"2021"	93	59041	157.5177	127.1372	192.9702	16.3338	0.0087%
	"Butler County, AL"	"01013"	"2018"	"2018"	39	19680	198.1707	140.9192	270.9053	31.7327	0.0036%
	"Butler County, AL"	"01013"	"2019"	"2019"	18	19448	Unreliable	54.8534	146.2759	21.8153	0.0017%
	"Butler County, AL"	"01013"	"2020"	"2020"	25	19504	128.1788	82.9509	189.2176	25.6358	0.0023%
	"Butler County, AL"	"01013"	"2021 "	"2021"	24	18884	127.0917	81.4302	189.1023	25.9425	0.0022%
	"Calhoun County, AL"	"01015"	"2018"	"2018"	192	114277	168.0128	144.2473	191.7784	12.1253	0.0179%
	"Calhoun County, AL"	"01015"	"2019"	"2019"	180	113605	158.4437	135.2967	181.5907	11.8097	0.0167%
	"Calhoun County, AL"	"01015"	"2020"	"2020"	183	113469	161.2775	137.9105	184.6446	11.9220	0.0170%
	"Calhoun County, AL"	"01015"	"2021 "	"2021"	156	115972	134.5152	113.4063	155.6241	10.7698	0.0145%
	"Chambers County, AL"	"01017"	"2018"	"2018"	60	33615	178.4917	136.2088	229.7546	23.0432	0.0056%
	"Chambers County, AL"	"01017"	"2019"	"2019"	43	33254	129.3078	93.5800	174.1762	19.7192	0.0040%
	"Chambers County, AL"	"01017"	"2020"	"2020"	54	32865	164.3085	123.4335	214.3865	22.3596	0.0050%
	"Chambers County, AL"	"01017"	"2021 "	"2021"	40	34541	115.8044	82.7318	157.6932	18.3103	0.0037%
	"Cherokee County, AL"	"01019"	"2018"	"2018"	45	26032	172.8642	126.0889	231.3061	25.7691	0.0042%
	"Cherokee County, AL"	"01019"	"2019"	"2019"	52	26196	198.5036	148.2524	260.3117	27.5275	0.0048%
	"Cherokee County, AL"	"01019"	"2020"	"2020"	61	26294	231.9921	177.4554	298.0031	29.7035	0.0057%
	"Cherokee County, AL"	"01019"	"2021 "	"2021"	55	24996	220.0352	165.7613	286.4066	29.6695	0.0051%
	"Chilton County, AL"	"01021"	"2018"	"2018"	64	44153	144.9505	111.6293	185.0989	18.1188	0.0060%
	"Chilton County, AL"	"01021"	"2019"	"2019"	68	44428	153.0566	118.8546	194.0360	18.5608	0.0063%
	"Chilton County, AL"	"01021"	"2020"	"2020"	62	44397	139.6491	107.0675	179.0231	17.7355	0.0058%
	"Chilton County, AL"	"01021"	"2021 "	"2021"	65	45274	143.5703	110.8047	182.9918	17.8077	0.0060%
	"Choctaw County, AL"	"01023"	"2018"	"2018"	19	12841	Unreliable	89.0844	231.0628	33.9452	0.0018%
	"Choctaw County, AL"	"01023"	"2019"	"2019"	18	12589	Unreliable	84.7397	225.9730	33.7012	0.0017%
	"Choctaw County, AL"	"01023"	"2020"	"2020"	16	12418	Unreliable	73.6466	209.2369	32.2113	0.0015%
	"Clarke County, AL"	"01025"	"2018"	"2018"	26	23920	108.6957	71.0033	159.2641	21.3170	0.0024%
	"Clarke County, AL"	"01025"	"2019"	"2019"	34	23622	143.9336	99.6784	201.1328	24.6844	0.0032%
	"Clarke County, AL"	"01025"	"2020"	"2020"	33	23291	141.6856	97.5293	198.9790	24.6643	0.0031%
	"Clarke County, AL"	"01025"	"2021 "	"2021"	34	22760	149.3849	103.4535	208.7504	25.6193	0.0032%
	"Clay County, AL"	"01027"	"2018"	"2018"	24	13275	180.7910	115.8364	269.0025	36.9038	0.0022%
	"Clay County, AL"	"01027"	"2019"	"2019"	17	13235	Unreliable	74.8257	205.6570	31.1530	0.0016%
	"Clay County, AL"	"01027"	"2020"	"2020"	19	13112	Unreliable	87.2432	226.2872	33.2436	0.0018%
	"Clay County, AL"	"01027"	"2021 "	"2021"	23	14190	162.0860	102.7479	243.2084	33.7973	0.0021%
	"Cleburne County, AL"	"01029"	"2018"	"2018"	24	14987	160.1388	102.6041	238.2737	32.6882	0.0022%
	"Cleburne County, AL"	"01029"	"2019"	"2019"	29	14910	194.5003	130.2608	279.3355	36.1178	0.0027%
	"Cleburne County, AL"	"01029"	"2020"	"2020"	28	14967	187.0782	124.3116	270.3804	35.3545	0.0026%
	"Cleburne County, AL"	"01029"	"2021 "	"2021"	22	15103	145.6664	91.2877	220.5404	31.0562	0.0020%
	"Coffee County, AL"	"01031"	"2018"	"2018"	54	51909	104.0282	78.1491	135.7339	14.1564	0.0050%
	"Coffee County, AL"	"01031"	"2019"	"2019"	66	52342	126.0938	97.5209	160.4228	15.5211	0.0061%
