,latitude,longitude,ch4,time
0,-6.3,140.69,1828.38,1562803430.0
1,-5.68,137.54,1811.71,1562803432.0
2,-6.25,137.92,1830.62,1562803439.0
3,-6.39,136.24,1834.01,1562803448.0
4,-7.71,140.37,1853.86,1562803454.0
5,-6.98,136.69,1826.39,1562803456.0
6,-8.91,144.09,1879.68,1562803460.0
7,-9.38,143.99,1872.91,1562803468.0
8,-9.28,143.42,1861.42,1562803469.0
9,-9.08,142.4,1849.04,1562803469.0
10,-8.49,139.3,1867.19,1562803471.0
11,-9.85,143.89,1859.76,1562803476.0
12,-8.87,138.75,1837.66,1562803479.0
13,-9.25,138.2,1874.14,1562803487.0
14,-12.1,142.81,1877.41,1562803517.0
15,-12.2,140.73,1858.13,1562803525.0
16,-11.41,136.71,1889.99,1562803527.0
17,-12.5,139.73,1872.34,1562803534.0
18,-13.61,143.08,1877.4,1562803540.0
19,-13.51,142.51,1867.64,1562803541.0
20,-13.22,140.98,1860.72,1562803541.0
21,-13.05,140.07,1858.29,1562803542.0
22,-14.08,142.98,1871.93,1562803548.0
23,-13.01,137.32,1879.18,1562803551.0
24,-12.82,136.37,1867.55,1562803551.0
25,-14.55,142.88,1861.43,1562803556.0
26,-14.45,142.31,1865.3,1562803557.0
27,-14.25,141.26,1864.88,1562803557.0
28,-14.17,140.77,1854.14,1562803557.0
29,-13.74,138.54,1867.37,1562803558.0
30,-13.48,137.2,1840.02,1562803559.0
31,-15.02,142.78,1894.3,1562803564.0
32,-13.86,136.63,1851.09,1562803567.0
33,-13.42,134.53,1848.21,1562803568.0
34,-15.96,142.58,1879.93,1562803580.0
35,-14.98,137.32,1835.61,1562803583.0
36,-14.59,135.4,1852.65,1562803584.0
37,-14.48,134.86,1848.69,1562803584.0
38,-14.35,134.29,1855.68,1562803584.0
39,-15.71,138.53,1853.0,1562803590.0
40,-15.45,137.21,1849.05,1562803591.0
41,-15.27,136.28,1858.56,1562803591.0
42,-15.17,135.8,1858.5,1562803591.0
43,-15.06,135.29,1857.07,1562803592.0
44,-14.95,134.75,1868.14,1562803592.0
45,-14.82,134.17,1849.46,1562803592.0
46,-16.61,140.74,1855.01,1562803597.0
47,-16.52,140.25,1838.75,1562803597.0
48,-15.74,136.17,1857.4,1562803599.0
49,-15.64,135.68,1862.24,1562803599.0
50,-15.41,134.63,1846.57,1562803600.0
51,-15.29,134.05,1859.12,1562803600.0
52,-16.56,137.87,1838.8,1562803606.0
53,-16.3,136.52,1834.23,1562803607.0
54,-16.1,135.56,1849.33,1562803607.0
55,-16.0,135.05,1839.71,1562803608.0
56,-15.88,134.51,1827.68,1562803608.0
57,-15.76,133.93,1891.51,1562803608.0
58,-17.84,142.18,1841.63,1562803612.0
59,-17.64,141.05,1861.17,1562803613.0
60,-17.12,138.2,1851.76,1562803614.0
61,-16.95,137.31,1853.16,1562803615.0
62,-16.86,136.86,1849.47,1562803615.0
63,-16.77,136.41,1834.72,1562803615.0
64,-16.67,135.93,1842.06,1562803615.0
65,-16.35,134.39,1859.13,1562803616.0
66,-18.02,140.42,1836.84,1562803621.0
67,-17.93,139.93,1843.54,1562803621.0
68,-17.59,138.09,1844.34,1562803622.0
69,-17.5,137.65,1849.14,1562803622.0
70,-17.42,137.2,1843.0,1562803623.0
71,-17.33,136.75,1839.22,1562803623.0
72,-17.24,136.29,1839.43,1562803623.0
73,-17.04,135.32,1833.18,1562803623.0
74,-16.93,134.81,1823.99,1562803624.0
75,-16.82,134.27,1829.71,1562803624.0
76,-16.69,133.68,1831.86,1562803624.0
77,-18.68,141.39,1858.35,1562803629.0
78,-18.58,140.84,1854.04,1562803629.0
79,-18.14,138.43,1835.37,1562803630.0
80,-18.06,137.98,1835.64,1562803630.0
81,-17.97,137.53,1845.52,1562803630.0
82,-17.89,137.09,1844.34,1562803631.0
83,-17.8,136.63,1826.38,1562803631.0
84,-17.61,135.7,1820.97,1562803631.0
85,-17.51,135.21,1826.84,1562803631.0
86,-17.4,134.69,1830.62,1562803632.0
87,-17.29,134.14,1836.64,1562803632.0
88,-17.16,133.56,1829.08,1562803632.0
89,-19.15,141.29,1819.04,1562803637.0
90,-19.05,140.74,1822.58,1562803637.0
