GEOID,month,year,Notes,County,Year,Month,Month Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,ID,mean_ch4
10001,01,2021,NA,"Kent County, DE",2021,Jan.,2021/01,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1870.2449951171875
10001,01,2021,NA,"Kent County, DE",2021,Jan.,2021/01,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1870.2449951171875
10001,02,2018,NA,"Kent County, DE",2018,Feb.,2018/02,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1814.550048828125
10001,02,2021,NA,"Kent County, DE",2021,Feb.,2021/02,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1860.9200439453125
10001,02,2021,NA,"Kent County, DE",2021,Feb.,2021/02,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1860.9200439453125
10001,03,2019,NA,"Kent County, DE",2019,Mar.,2019/03,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1878.5999755859375
10001,03,2020,NA,"Kent County, DE",2020,Mar.,2020/03,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1854.5599975585938
10001,03,2020,NA,"Kent County, DE",2020,Mar.,2020/03,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1854.5599975585938
10001,03,2021,NA,"Kent County, DE",2021,Mar.,2021/03,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1895.5724792480469
10001,03,2021,NA,"Kent County, DE",2021,Mar.,2021/03,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1895.5724792480469
10001,04,2020,NA,"Kent County, DE",2020,Apr.,2020/04,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1878.2349853515625
10001,04,2020,NA,"Kent County, DE",2020,Apr.,2020/04,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1878.2349853515625
10001,04,2021,NA,"Kent County, DE",2021,Apr.,2021/04,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1873.3699951171875
10001,04,2021,NA,"Kent County, DE",2021,Apr.,2021/04,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1873.3699951171875
10001,05,2019,NA,"Kent County, DE",2019,May,2019/05,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1871.6500244140625
10001,05,2020,NA,"Kent County, DE",2020,May,2020/05,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1882.7850341796875
10001,05,2021,NA,"Kent County, DE",2021,May,2021/05,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1882.1925048828125
10001,05,2021,NA,"Kent County, DE",2021,May,2021/05,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1882.1925048828125
10001,06,2019,NA,"Kent County, DE",2019,Jun.,2019/06,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1885.9250081380208
10001,06,2019,NA,"Kent County, DE",2019,Jun.,2019/06,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1885.9250081380208
10001,06,2020,NA,"Kent County, DE",2020,Jun.,2020/06,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1884.7039794921875
10001,06,2021,NA,"Kent County, DE",2021,Jun.,2021/06,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1889.1400146484375
10001,07,2019,NA,"Kent County, DE",2019,Jul.,2019/07,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1878.5119873046874
10001,07,2020,NA,"Kent County, DE",2020,Jul.,2020/07,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1906.6600341796875
10001,07,2021,NA,"Kent County, DE",2021,Jul.,2021/07,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1923.155029296875
10001,08,2019,NA,"Kent County, DE",2019,Aug.,2019/08,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1905.6099853515625
10001,08,2020,NA,"Kent County, DE",2020,Aug.,2020/08,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1895.7250162760417
10001,08,2021,NA,"Kent County, DE",2021,Aug.,2021/08,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1908.7275085449219
10001,09,2019,NA,"Kent County, DE",2019,Sep.,2019/09,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1870.1600341796875
