Notes,County,County Code,Single Race 6,Single Race 6 Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths,ID
,"Baldwin County, AL",1003.0,White,2106-3,87.0,795220.0,10.9404,8.7628,13.4949,1.1729,0.0621%,methane
,"Bibb County, AL",1007.0,White,2106-3,12.0,68474.0,Unreliable,9.0553,30.6125,5.059,0.0086%,methane
,"Blount County, AL",1009.0,White,2106-3,31.0,222647.0,13.9234,9.4602,19.7631,2.5007,0.0221%,methane
,"Calhoun County, AL",1015.0,Black or African American,2054-5,13.0,97820.0,Unreliable,7.0762,22.7258,3.6859,0.0093%,methane
,"Calhoun County, AL",1015.0,White,2106-3,50.0,342854.0,14.5835,10.8241,19.2266,2.0624,0.0357%,methane
,"Cherokee County, AL",1019.0,White,2106-3,11.0,96251.0,Unreliable,5.7051,20.4487,3.4458,0.0078%,methane
,"Chilton County, AL",1021.0,White,2106-3,17.0,155139.0,Unreliable,6.3834,17.5447,2.6577,0.0121%,methane
,"Coffee County, AL",1031.0,White,2106-3,11.0,160419.0,Unreliable,3.423,12.2692,2.0675,0.0078%,methane
,"Colbert County, AL",1033.0,White,2106-3,19.0,179041.0,Unreliable,6.3892,16.5721,2.4346,0.0136%,methane
,"Cullman County, AL",1043.0,White,2106-3,32.0,326825.0,9.7912,6.6972,13.8222,1.7309,0.0228%,methane
,"DeKalb County, AL",1049.0,White,2106-3,26.0,265178.0,9.8047,6.4047,14.3662,1.9229,0.0185%,methane
,"Elmore County, AL",1051.0,White,2106-3,13.0,252647.0,Unreliable,2.7398,8.799,1.4271,0.0093%,methane
,"Escambia County, AL",1053.0,White,2106-3,15.0,90875.0,Unreliable,9.2383,27.2245,4.2619,0.0107%,methane
,"Etowah County, AL",1055.0,White,2106-3,52.0,330569.0,15.7305,11.7483,20.6284,2.1814,0.0371%,methane
,"Franklin County, AL",1059.0,White,2106-3,13.0,115522.0,Unreliable,5.9919,19.2434,3.1211,0.0093%,methane
,"Houston County, AL",1069.0,White,2106-3,27.0,291261.0,9.2700,6.109,13.4874,1.784,0.0193%,methane
,"Jackson County, AL",1071.0,White,2106-3,17.0,189701.0,Unreliable,5.2204,14.3482,2.1735,0.0121%,methane
,"Jefferson County, AL",1073.0,Black or African American,2054-5,85.0,1151498.0,7.3817,5.8962,9.1276,0.8007,0.0606%,methane
,"Jefferson County, AL",1073.0,White,2106-3,265.0,1397471.0,18.9628,16.6797,21.246,1.1649,0.1891%,methane
,"Lauderdale County, AL",1077.0,White,2106-3,23.0,323533.0,7.1090,4.5065,10.667,1.4823,0.0164%,methane
,"Lee County, AL",1081.0,White,2106-3,22.0,475234.0,4.6293,2.9011,7.0088,0.987,0.0157%,methane
,"Limestone County, AL",1083.0,White,2106-3,12.0,327445.0,Unreliable,1.8936,6.4016,1.0579,0.0086%,methane
,"Madison County, AL",1089.0,Black or African American,2054-5,35.0,376220.0,9.3031,6.48,12.9383,1.5725,0.0250%,methane
,"Madison County, AL",1089.0,White,2106-3,130.0,1042220.0,12.4734,10.3292,14.6176,1.094,0.0927%,methane
,"Marshall County, AL",1095.0,White,2106-3,51.0,360032.0,14.1654,10.5471,18.625,1.9836,0.0364%,methane
,"Mobile County, AL",1097.0,Black or African American,2054-5,25.0,600542.0,4.1629,2.694,6.1453,0.8326,0.0178%,methane
,"Mobile County, AL",1097.0,White,2106-3,106.0,973061.0,10.8935,8.8196,12.9673,1.0581,0.0756%,methane
,"Montgomery County, AL",1101.0,Black or African American,2054-5,12.0,540036.0,Unreliable,1.1482,3.8815,0.6415,0.0086%,methane
,"Montgomery County, AL",1101.0,White,2106-3,42.0,317065.0,13.2465,9.5469,17.9054,2.044,0.0300%,methane
,"Morgan County, AL",1103.0,Black or African American,2054-5,13.0,63374.0,Unreliable,10.9224,35.0781,5.6893,0.0093%,methane
,"Morgan County, AL",1103.0,White,2106-3,36.0,398626.0,9.0310,6.3252,12.5027,1.5052,0.0257%,methane
,"Russell County, AL",1113.0,White,2106-3,28.0,115480.0,24.2466,16.1116,35.0432,4.5822,0.0200%,methane
,"St. Clair County, AL",1115.0,White,2106-3,54.0,315576.0,17.1116,12.8547,22.3268,2.3286,0.0385%,methane
,"Shelby County, AL",1117.0,White,2106-3,60.0,724990.0,8.2760,6.3155,10.6528,1.0684,0.0428%,methane
,"Talladega County, AL",1121.0,White,2106-3,22.0,205857.0,10.6870,6.6975,16.1803,2.2785,0.0157%,methane
,"Tuscaloosa County, AL",1125.0,Black or African American,2054-5,15.0,278631.0,Unreliable,3.0131,8.8792,1.39,0.0107%,methane
,"Tuscaloosa County, AL",1125.0,White,2106-3,57.0,548228.0,10.3971,7.8747,13.4707,1.3771,0.0407%,methane
,"Walker County, AL",1127.0,White,2106-3,58.0,232012.0,24.9987,18.9825,32.3166,3.2825,0.0414%,methane
,"Winston County, AL",1133.0,White,2106-3,10.0,90659.0,Unreliable,5.2895,20.2852,3.4881,0.0071%,methane
,"Anchorage Borough, AK",2020.0,American Indian or Alaska Native,1002-5,40.0,104899.0,38.1319,27.2418,51.925,6.0292,0.0285%,methane
,"Anchorage Borough, AK",2020.0,Black or African American,2054-5,10.0,68666.0,Unreliable,6.9837,26.7824,4.6053,0.0071%,methane
,"Anchorage Borough, AK",2020.0,White,2106-3,93.0,731988.0,12.7051,10.2547,15.5647,1.3175,0.0664%,methane
,"Anchorage Borough, AK",2020.0,More than one race,M,32.0,98905.0,32.3543,22.1303,45.6745,5.7195,0.0228%,methane
,"Fairbanks North Star Borough, AK",2090.0,White,2106-3,23.0,292251.0,7.8699,4.9888,11.8088,1.641,0.0164%,methane
